# %ECSV 0.9
# ---
# datatype:
# - {name: Source_Name, datatype: string}
# - {name: RAJ2000, unit: deg, datatype: float32}
# - {name: DEJ2000, unit: deg, datatype: float32}
# - {name: Pivot_Energy, unit: GeV, datatype: float32, format: '{0:.1f}'}
# - {name: PL_Flux_Density, unit: ph / (cm2 GeV s), datatype: float32, format: '{0:.4e}'}
# - {name: PL_Index, datatype: float32, format: '{0:.4f}'}
# - {name: LP_Flux_Density, unit: ph / (cm2 GeV s), datatype: float32, format: '{0:.4e}'}
# - {name: LP_Index, datatype: float32, format: '{0:.4f}'}
# - {name: LP_Beta, datatype: float32, format: '{0:.6f}'}
# - {name: Redshift, datatype: float32, format: '{0:.3f}'}
# schema: astropy-2.0
Source_Name RAJ2000 DEJ2000 Pivot_Energy PL_Flux_Density PL_Index LP_Flux_Density LP_Index LP_Beta Redshift
J1958.0-3845 299.505 -38.7565 17.0 1.5130e-12 3.1065 1.5130e-12 3.1065 0.001446 0.630
J1958.3-3011 299.59 -30.1836 26.1 1.7315e-12 2.4147 1.7315e-12 2.4147 0.002761 0.119
J1959.9+6508 299.999 65.1494 28.2 1.0754e-11 1.9170 1.0754e-11 1.9170 0.000859 0.047
J2000.4-1327 300.12 -13.4506 17.9 1.2815e-12 3.2093 1.2815e-12 3.2093 0.000759 0.222
J2000.9-1748 300.243 -17.8041 25.3 1.1866e-12 2.4146 1.1866e-12 2.4146 0.002766 0.652
J2001.5+7039 300.394 70.6647 19.1 1.1169e-12 3.2092 1.1169e-12 3.2092 0.000759 0.254
J2005.9+7753 301.482 77.8857 18.8 2.1792e-12 3.2083 2.1792e-12 3.2083 0.000760 0.342
J2009.4-4849 302.358 -48.8172 28.0 4.2970e-12 2.4150 4.2970e-12 2.4150 0.002747 0.071
J2014.4-0047 303.613 -0.798165 34.8 2.9679e-13 0.6750 2.9679e-13 0.6750 0.005109 0.230
J2014.5+0648 303.642 6.80324 23.1 9.6871e-13 2.4146 9.6871e-13 2.4146 0.002766 0.341
J2016.4-0904 304.11 -9.07381 19.2 3.4111e-12 3.2082 3.4111e-12 3.2082 0.000760 0.367
J2022.5+7614 305.626 76.2362 22.5 8.5428e-13 3.1064 8.5428e-13 3.1064 0.001445 0.594
J2023.3+3154 305.834 31.913 16.6 3.4872e-12 3.2089 3.4872e-12 3.2089 0.000760 0.356
J2023.6-1140 305.918 -11.6672 12.5 9.3469e-12 3.2086 9.3469e-12 3.2086 0.000760 0.698
J2025.7-0735 306.435 -7.59417 18.3 2.8926e-12 3.1059 2.8926e-12 3.1059 0.001446 1.388
J2035.5+1056 308.875 10.9463 15.4 3.5325e-12 3.2091 3.5325e-12 3.2091 0.000759 0.601
J2039.4+5219 309.867 52.3201 24.7 8.9355e-13 2.4147 8.9355e-13 2.4147 0.002765 0.053
J2040.3-7116 310.08 -71.2753 25.8 1.4805e-12 2.4148 1.4805e-12 2.4148 0.002763 0.162
J2041.9-3734 310.484 -37.5771 49.3 1.6681e-13 1.3685 1.6681e-13 1.3685 0.004064 0.099
J2042.0+2428 310.517 24.4791 30.9 6.3703e-13 1.8076 6.3703e-13 1.8076 0.003228 0.104
J2050.2-2624 312.57 -26.4118 12.0 4.1246e-12 3.2095 4.1246e-12 3.2095 0.000759 1.633
J2055.0+0014 313.753 0.235963 24.2 4.9726e-13 3.1066 4.9726e-13 3.1066 0.001446 0.151
J2055.4-0022 313.855 -0.372881 26.7 7.0754e-13 2.0401 7.0754e-13 2.0401 0.003225 0.440
J2056.2-4713 314.07 -47.2262 16.9 3.8010e-12 3.2091 3.8010e-12 3.2091 0.000759 1.489
J2108.8-0251 317.213 -2.85752 32.1 2.7770e-13 0.9594 2.7770e-13 0.9594 0.004687 0.149
J2115.2+2933 318.821 29.5608 17.0 2.9258e-12 3.2093 2.9258e-12 3.2093 0.000759 1.514
J2116.2+3339 319.061 33.6508 19.0 9.0061e-12 3.1046 9.0061e-12 3.1046 0.001445 1.596
J2118.0-3243 319.502 -32.7245 20.0 9.2056e-13 3.1065 9.2056e-13 3.1065 0.001446 0.215
J2121.0+1901 320.263 19.024 15.1 4.6976e-12 3.2092 4.6976e-12 3.2092 0.000760 2.180
J2131.5-0914 322.881 -9.24737 26.4 1.1775e-12 2.4146 1.1775e-12 2.4146 0.002765 0.449
J2134.2-0152 323.568 -1.87852 19.3 1.3990e-12 2.4149 1.3990e-12 2.4149 0.002766 1.283
J2143.1-3930 325.794 -39.5006 28.6 4.3452e-13 2.4146 4.3452e-13 2.4146 0.002767 0.429
J2143.5+1742 325.899 17.7085 17.9 3.5026e-12 3.1050 3.5026e-12 3.1050 0.001445 0.211
J2145.1-3354 326.298 -33.9115 17.9 1.7388e-12 3.1063 1.7388e-12 3.1063 0.001446 1.360
J2145.8+0718 326.453 7.31404 12.5 3.6873e-12 3.2092 3.6873e-12 3.2092 0.000759 0.237
J2147.3-7535 326.83 -75.5853 16.2 5.2504e-12 3.2087 5.2504e-12 3.2087 0.000760 1.138
J2150.2-1412 327.573 -14.2085 30.8 7.2078e-13 1.7339 7.2078e-13 1.7339 0.003720 0.229
J2157.4+3126 329.356 31.4482 19.0 1.0992e-12 3.1064 1.0992e-12 3.1064 0.001446 1.486
J2158.1-1502 329.541 -15.0418 18.8 1.8543e-12 3.1064 1.8543e-12 3.1064 0.001445 0.672
J2158.8-3013 329.717 -30.2242 18.3 7.4892e-11 2.0206 7.4892e-11 2.0206 0.029970 0.116
J2159.2-2840 329.808 -28.6798 21.9 8.2582e-13 2.4147 8.2582e-13 2.4147 0.002766 0.271
J2202.7+4216 330.693 42.276 18.5 1.8498e-11 3.1987 1.8498e-11 3.1987 0.000761 0.069
J2203.4+1725 330.864 17.4195 16.0 6.1410e-12 3.2088 6.1410e-12 3.2088 0.000760 1.076
J2209.7-0451 332.44 -4.86383 44.0 4.6665e-13 -1.0058 4.6665e-13 -1.0058 0.006802 2.100
J2211.0-0003 332.773 -0.063355 19.8 1.1988e-12 3.2120 1.1988e-12 3.2120 0.000757 0.362
J2216.9+2420 334.232 24.3468 16.4 1.7390e-12 3.2094 1.7390e-12 3.2094 0.000759 0.505
J2219.1+1806 334.791 18.111 19.3 1.3332e-12 2.4154 1.3332e-12 2.4154 0.002765 1.802
J2232.7+1143 338.181 11.7305 13.0 1.2971e-11 3.2084 1.2971e-11 3.2084 0.000760 1.037
J2235.4-4836 338.85 -48.6004 17.4 1.4090e-12 3.1066 1.4090e-12 3.1066 0.001445 0.510
J2236.2-1706 339.069 -17.1142 17.2 1.3513e-12 3.1066 1.3513e-12 3.1066 0.001446 0.647
J2236.3+2826 339.076 28.4483 17.9 2.7277e-12 3.1063 2.7277e-12 3.1063 0.001445 0.790
J2236.5-1433 339.149 -14.5508 17.0 1.1843e-11 3.2073 1.1843e-11 3.2073 0.000760 0.325
J2241.2+4120 340.315 41.3434 13.9 3.2328e-12 3.2092 3.2328e-12 3.2092 0.000759 0.520
J2243.5-2543 340.878 -25.727 17.6 3.0236e-12 3.2092 3.0236e-12 3.2092 0.000759 0.774
J2244.2+4057 341.056 40.9536 16.2 5.4551e-12 3.2088 5.4551e-12 3.2088 0.000760 1.171
J2246.6-5207 341.661 -52.1287 34.6 3.8365e-13 1.5593 3.8365e-13 1.5593 0.003915 0.098
J2247.5-0000 341.889 -0.00934222 18.3 2.1756e-12 2.4147 2.1756e-12 2.4147 0.002766 0.949
J2250.0+3825 342.509 38.4281 40.9 8.7141e-13 1.5699 8.7141e-13 1.5699 0.001718 0.119
J2253.9+1608 343.489 16.148 15.1 7.9200e-11 3.1985 7.9200e-11 3.1985 0.000761 0.859
J2254.9-2724 343.742 -27.4153 31.0 3.5341e-13 1.0810 3.5341e-13 1.0810 0.004434 0.333
J2258.3-2758 344.583 -27.9694 14.4 2.6614e-12 3.2095 2.6614e-12 3.2095 0.000759 0.926
J2258.6-5525 344.672 -55.4217 26.5 3.5849e-13 2.4147 3.5849e-13 2.4147 0.002767 0.479
J2307.7+1451 346.925 14.8662 15.9 1.9869e-12 3.2094 1.9869e-12 3.2094 0.000760 0.503
J2311.0+3426 347.764 34.4357 14.7 5.7005e-12 3.2091 5.7005e-12 3.2091 0.000759 1.817
J2314.0+1445 348.503 14.7544 26.2 1.1521e-12 2.4147 1.1521e-12 2.4147 0.002765 0.164
J2321.8+3204 350.471 32.0749 14.1 6.8687e-12 3.2090 6.8687e-12 3.2090 0.000760 1.489
J2321.9+2735 350.485 27.5845 13.7 3.0226e-12 3.2094 3.0226e-12 3.2094 0.000760 1.253
J2322.4-4222 350.622 -42.3732 27.5 3.8983e-13 1.1667 3.8983e-13 1.1667 0.004414 0.090
J2322.6+3436 350.663 34.6057 30.8 7.3628e-13 1.9088 7.3628e-13 1.9088 0.003396 0.098
J2323.4-0317 350.864 -3.29545 16.7 3.5408e-12 3.2093 3.5408e-12 3.2093 0.000759 1.393
J2323.8+4210 350.971 42.1778 21.2 5.2582e-12 3.1014 5.2582e-12 3.1014 0.001444 0.059
J2324.7-4040 351.184 -40.6829 21.3 3.7911e-12 3.1045 3.7911e-12 3.1045 0.001445 0.174
J2325.4-4759 351.359 -47.9925 19.7 2.3476e-12 3.2058 2.3476e-12 3.2058 0.000760 0.221
J2328.6-4036 352.168 -40.6053 19.1 1.2095e-12 3.1064 1.2095e-12 3.1064 0.001446 1.972
J2329.2+3755 352.31 37.9204 22.0 1.7562e-12 3.1059 1.7562e-12 3.1059 0.001445 0.264
J2329.2-4955 352.312 -49.9272 14.4 2.2922e-11 3.2057 2.2922e-11 3.2057 0.000760 0.518
J2330.6-3725 352.668 -37.4187 14.5 2.0218e-12 2.4147 2.0218e-12 2.4147 0.002766 0.279
J2338.9+2123 354.745 21.3966 23.3 8.9904e-13 2.4146 8.9904e-13 2.4146 0.002766 0.291
J2340.8+8015 355.224 80.2593 21.0 4.5790e-12 3.1017 4.5790e-12 3.1017 0.001444 0.274
J2343.6+3439 355.901 34.6513 24.4 1.0444e-12 2.4146 1.0444e-12 2.4146 0.002766 0.366
J2345.1-1554 356.3 -15.9151 17.0 1.9175e-11 3.2059 1.9175e-11 3.2059 0.000761 0.621
J2346.6+0705 356.673 7.08444 25.3 1.8603e-12 2.4148 1.8603e-12 2.4148 0.002763 0.172
J2347.0+5142 356.769 51.7008 31.4 3.4717e-12 1.7958 3.4717e-12 1.7958 0.001171 0.044
J2347.9-1630 356.998 -16.5106 16.3 3.4494e-12 3.2091 3.4494e-12 3.2091 0.000759 0.576
J2350.5-3006 357.635 -30.107 21.2 1.1208e-12 2.4147 1.1208e-12 2.4147 0.002766 0.224
J2356.2+4035 359.075 40.5985 29.0 4.4938e-13 2.4146 4.4938e-13 2.4146 0.002766 0.131
J2359.1-3038 359.776 -30.6397 21.2 1.6584e-12 3.1063 1.6584e-12 3.1063 0.001446 0.165
J2359.3-2049 359.829 -20.8256 19.0 1.0112e-12 3.1065 1.0112e-12 3.1065 0.001445 0.096
