# %ECSV 0.9
# ---
# datatype:
# - {name: Source_Name, datatype: string}
# - {name: RAJ2000, unit: deg, datatype: float32}
# - {name: DEJ2000, unit: deg, datatype: float32}
# - {name: Pivot_Energy, unit: GeV, datatype: float32, format: '{0:.1f}'}
# - {name: PL_Flux_Density, unit: ph / (cm2 GeV s), datatype: float32, format: '{0:.4e}'}
# - {name: PL_Index, datatype: float32, format: '{0:.4f}'}
# - {name: LP_Flux_Density, unit: ph / (cm2 GeV s), datatype: float32, format: '{0:.4e}'}
# - {name: LP_Index, datatype: float32, format: '{0:.4f}'}
# - {name: LP_Beta, datatype: float32, format: '{0:.6f}'}
# - {name: Redshift, datatype: float32, format: '{0:.3f}'}
# schema: astropy-2.0
Source_Name RAJ2000 DEJ2000 Pivot_Energy PL_Flux_Density PL_Index LP_Flux_Density LP_Index LP_Beta Redshift
J0325.6-1646 51.4194 -16.7733 25.5 2.3241e-12 2.4147 2.3241e-12 2.4147 0.002761 0.291
J0326.3+0226 51.5861 2.43339 22.4 1.8155e-12 3.1052 1.8155e-12 3.1052 0.001446 0.147
J0333.8+7849 53.4693 78.8292 18.0 2.1504e-12 3.1059 2.1504e-12 3.1059 0.001445 0.400
J0334.2-4008 53.5522 -40.1465 16.0 8.5118e-12 3.2086 8.5118e-12 3.2086 0.000760 1.445
J0334.3+3920 53.5912 39.3384 37.6 2.4531e-13 1.5644 2.4531e-13 1.5644 0.003897 0.021
J0336.4-0348 54.1217 -3.80029 34.8 4.9794e-13 3.2118 4.9794e-13 3.2118 0.000757 0.159
J0338.1-2443 54.5398 -24.7301 29.9 1.2921e-15 -3.4793 1.2921e-15 -3.4793 0.009078 0.251
J0339.2-1736 54.8136 -17.6071 20.9 1.3339e-12 3.2091 1.3339e-12 3.2091 0.000759 0.065
J0339.5-0146 54.875 -1.76826 17.1 3.8887e-12 3.2091 3.8887e-12 3.2091 0.000759 0.850
J0340.6-2120 55.1696 -21.3345 23.2 4.8464e-13 3.1066 4.8464e-13 3.1066 0.001446 0.233
J0342.2+3858 55.5559 38.9791 14.9 1.5285e-12 3.2095 1.5285e-12 3.2095 0.000759 0.945
J0345.1-2353 56.2958 -23.8906 18.0 1.1810e-12 2.4146 1.1810e-12 2.4146 0.002766 0.104
J0349.3-1159 57.3454 -11.9927 44.6 2.7652e-13 2.0261 2.7652e-13 2.0261 0.001922 0.188
J0353.0-6832 58.2623 -68.535 31.1 6.4251e-13 1.9086 6.4251e-13 1.9086 0.003395 0.087
J0356.8-4957 59.2228 -49.9561 17.2 1.3004e-12 3.2095 1.3004e-12 3.2095 0.000759 0.643
J0401.9-2616 60.4916 -26.267 13.6 4.3727e-12 3.2093 4.3727e-12 3.2093 0.000760 1.920
J0403.7-3607 60.9466 -36.1189 12.0 4.6012e-12 3.2095 4.6012e-12 3.2095 0.000758 1.417
J0407.4+0740 61.8652 7.67457 18.1 1.7701e-12 3.1062 1.7701e-12 3.1062 0.001446 1.133
J0416.5-1852 64.1487 -18.8806 18.3 1.3669e-12 2.4147 1.3669e-12 2.4147 0.002767 1.536
J0416.8+0105 64.2136 1.09427 28.0 1.1495e-12 2.4148 1.1495e-12 2.4148 0.002764 0.287
J0423.3-0120 65.8293 -1.3424 16.0 6.9165e-12 3.2087 6.9165e-12 3.2087 0.000760 0.916
J0424.7+0036 66.1993 0.603108 20.4 1.8742e-12 3.1059 1.8742e-12 3.1059 0.001445 0.268
J0428.6-3756 67.1694 -37.9411 14.9 7.0162e-11 3.2001 7.0162e-11 3.2001 0.000761 1.110
J0430.2-2507 67.5675 -25.1256 15.9 2.0316e-12 3.2094 2.0316e-12 3.2094 0.000759 0.516
J0433.6+2905 68.4118 29.0964 19.6 5.8434e-12 3.1050 5.8434e-12 3.1050 0.001445 0.970
J0438.8-4520 69.7126 -45.3468 15.0 1.4986e-12 3.2096 1.4986e-12 3.2096 0.000759 2.017
J0440.3-2457 70.0836 -24.9643 24.8 5.8173e-13 2.4146 5.8173e-13 2.4146 0.002767 0.600
J0442.7-0018 70.6789 -0.315317 15.8 2.6239e-12 3.2091 2.6239e-12 3.2091 0.000759 0.449
J0445.0-6012 71.2572 -60.2143 19.2 9.6929e-13 2.4146 9.6929e-13 2.4146 0.002766 0.097
J0449.4-4350 72.3616 -43.8338 22.9 1.7042e-11 3.0948 1.7042e-11 3.0948 0.001443 0.205
J0455.8-4616 73.9675 -46.2719 12.8 2.6925e-12 3.2095 2.6925e-12 3.2095 0.000759 0.858
J0457.0-2324 74.2573 -23.4115 16.2 3.1373e-11 3.2045 3.1373e-11 3.2045 0.000761 1.003
J0501.2-0159 75.321 -1.99083 14.1 5.2164e-12 3.2094 5.2164e-12 3.2094 0.000759 2.291
J0505.4+0458 76.3623 4.97926 13.5 1.0152e-11 3.2086 1.0152e-11 3.2086 0.000760 0.954
J0505.5+0415 76.3931 4.25548 20.2 1.9411e-12 3.1061 1.9411e-12 3.1061 0.001446 0.424
J0508.0+6737 77.0014 67.6197 33.9 5.1310e-12 1.4239 5.1310e-12 1.4239 0.002138 0.416
J0510.0+1800 77.5211 18.0087 16.3 8.6141e-12 3.2078 8.6141e-12 3.2078 0.000760 0.416
J0516.3+7350 79.091 73.85 25.8 6.3015e-13 2.4147 6.3015e-13 2.4147 0.002765 0.251
J0516.7-6207 79.1758 -62.1259 18.1 3.9912e-12 3.1059 3.9912e-12 3.1059 0.001445 1.300
J0521.7+2112 80.4417 21.2134 18.4 3.2807e-11 3.1917 3.2807e-11 3.1917 0.000762 0.108
J0523.0-3627 80.7534 -36.4575 20.5 2.6544e-12 3.2041 2.6544e-12 3.2041 0.000760 0.056
J0524.5+2838 81.1371 28.6397 25.3 1.0176e-12 1.7368 1.0176e-12 1.7368 0.003679 1.500
J0526.0-0050 81.5012 -0.84949 14.9 2.3702e-12 3.2095 2.3702e-12 3.2095 0.000759 1.200
